"icao","airport","city","state"
"SDLL","YOLANDA PENTEADO","LEME","SP"
"SDLP","MUNICIPAL JOSÉ BOSO","LENÇÓIS PAULISTA","SP"
"SDLY","ARMANDO NATALI","MATÃO","SP"
"SBMI","MARICÁ","MARICÁ","RJ"
"SDMH","MIRASSOL","MIRASSOL","SP"
"SDMJ","MOGI MIRIM","MOGI MIRIM","SP"
"SDMO","MONTE ALTO","MONTE ALTO","SP"
"SDNH","NOVO HORIZONTE","NOVO HORIZONTE","SP"
"SDNM","BRIGADEIRO EDUARDO GOMES","NOVA MUTUM","MT"
"SDNO","NELSON GARÓFALO","SÃO MANUEL","SP"
"SDOU","JORNALISTA BENEDITO PIMENTEL","OURINHOS","SP"
"SDOV","MOZARLÂNDIA","MOZARLÂNDIA","GO"
"SDOW","OURILÂNDIA DO NORTE","OURILÂNDIA DO NORTE","PA"
"SDPD","PINDAMONHANGABA","PINDAMONHANGABA","SP"
"SDPN","PENÁPOLIS","PENÁPOLIS","SP"
"SDPV","PRESIDENTE VENCESLAU","PRESIDENTE VENCESLAU","SP"
"SDPW","PEDRO MORGANTI","PIRACICABA","SP"
"SDPY","PIRASSUNUNGA","PIRASSUNUNGA","SP"
"SDRK","RIO CLARO","RIO CLARO","SP"
"SDRR","AVARÉ-ARANDU","AVARÉ","SP"
"SDRS","RESENDE","RESENDE","RJ"
"SDSC","MÁRIO PEREIRA LOPES","SÃO CARLOS","SP"
"SBSO","REGIONAL DE SORRISO ADOLINO BEDIN","SORRISO","MT"
"SDTB","ATIBAIA","ATIBAIA","SP"
"SDTF","TATUÍ","TATUÍ","SP"
"SDTI","TUPI PAULISTA","TUPI PAULISTA","SP"
"SDTK","PARATY","PARATY","RJ"
"SDTP","JOSÉ VICENTE FARIA LIMA","TUPÃ","SP"
"SDUB","ESTADUAL GASTÃO MADEIRA","UBATUBA","SP"
"SDUN","ITAPERUNA","ITAPERUNA","RJ"
"SDUQ","PARAGUAÇU PAULISTA","PARAGUAÇU PAULISTA","SP"
"SDVE","VERA CRUZ","VERA CRUZ","SP"
"SDVG","DOMINGOS PIGNATARI","VOTUPORANGA","SP"
"SDWQ","ALENQUER","ALENQUER","PA"
"SDXF","ALTO PARAÍSO DE GOIÁS","ALTO PARAÍSO DE GOIÁS","GO"
"SDXJ","COSTA RICA","COSTA RICA","MS"
"SDZG","PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ","TAUÁ","CE"
"SIBU","JERÔNIMO SÉRGIO ROSADO MAIA","CATOLÉ DO ROCHA","PB"
"SIBW","CONCEIÇÃO","CONCEIÇÃO","PB"
"SIBY","LOURIVAL NUNES DE FARIAS","MONTEIRO","PB"
"SIBZ","ITAPORANGA","ITAPORANGA","PB"
"SICB","PEDRO SIMÕES PIMENTA","CUITÉ","PB"
